gender,age,field,race,from,income,goal,date,go_out,career,sports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,you_call,them_cal
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,1.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,2.0,4.0,1.0,1.0
0,21.0,Law,4.0,Chicago,"69,487.00",2.0,7.0,1.0,lawyer,9.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,2.0,4.0,1.0,1.0
